Timestamp,RTT_ms,Bitrate_bps,PacketsSent,BytesSent
Timestamp,RTT_ms,Bitrate_bps,PacketsSent,BytesSent
1753672709183,-1,-1,-1,-1
1753672709183,-1,-1,-1,-1
1753672710184,-1,-1,-1,-1
1753672710184,-1,-1,-1,-1
1753672711185,-1,-1,-1,-1
1753672711185,-1,-1,-1,-1
1753672712185,-1,-1,-1,-1
1753672712185,-1,-1,-1,-1
1753672713186,-1,-1,-1,-1
1753672713186,-1,-1,-1,-1
1753672714186,-1,-1,-1,-1
1753672714186,-1,-1,-1,-1
1753672715187,-1,-1,-1,-1
1753672715187,-1,-1,-1,-1
1753672716188,-1,-1,-1,-1
1753672716188,-1,-1,-1,-1
1753672717188,-1,-1,-1,-1
1753672717188,-1,-1,-1,-1
1753672718189,-1,-1,-1,-1
1753672718189,-1,-1,-1,-1
1753672719190,-1,-1,-1,-1
1753672719190,-1,-1,-1,-1
1753672720191,-1,-1,-1,-1
1753672720191,-1,-1,-1,-1
1753672721191,-1,-1,-1,-1
1753672721192,-1,-1,-1,-1
1753672722192,-1,-1,-1,-1
1753672722192,-1,-1,-1,-1
1753672723193,-1,-1,-1,-1
1753672723193,-1,-1,-1,-1
1753672724194,-1,-1,-1,-1
1753672724194,-1,-1,-1,-1
1753672725194,-1,-1,-1,-1
1753672725194,-1,-1,-1,-1
1753672726195,-1,-1,-1,-1
1753672726195,-1,-1,-1,-1
1753672727196,-1,-1,-1,-1
1753672727196,-1,-1,-1,-1
1753672728197,-1,-1,-1,-1
1753672728197,-1,-1,-1,-1
1753672729198,-1,-1,-1,-1
1753672729198,-1,-1,-1,-1
1753672730199,-1,-1,-1,-1
1753672730199,-1,-1,-1,-1
1753672731201,-1,-1,-1,-1
1753672731203,-1,-1,-1,-1
1753672732201,-1,-1,-1,-1
1753672732201,-1,-1,-1,-1
1753672733202,-1,-1,-1,-1
1753672733202,-1,-1,-1,-1
1753672734203,-1,-1,-1,-1
1753672734203,-1,-1,-1,-1
1753672735204,-1,-1,-1,-1
1753672735204,-1,-1,-1,-1
1753672736204,-1,-1,-1,-1
1753672736204,-1,-1,-1,-1
1753672737205,-1,-1,-1,-1
1753672737205,-1,-1,-1,-1
1753672738206,-1,-1,-1,-1
1753672738207,-1,-1,-1,-1
Timestamp,RTT_ms,Bitrate_bps,PacketsSent,BytesSent
1753679158781,-1,-1,-1,-1
Timestamp,RTT_ms,Bitrate_bps,PacketsSent,BytesSent
1753679158782,-1,-1,-1,-1
1753679159782,-1,-1,-1,-1
1753679159782,-1,-1,-1,-1
1753679160783,-1,-1,-1,-1
1753679160783,-1,-1,-1,-1
1753679161784,-1,-1,-1,-1
1753679161784,-1,-1,-1,-1
1753679162784,-1,-1,-1,-1
1753679162784,-1,-1,-1,-1
1753679163785,-1,-1,-1,-1
1753679163785,-1,-1,-1,-1
1753679164786,-1,-1,-1,-1
1753679164786,-1,-1,-1,-1
1753679165787,-1,-1,-1,-1
1753679165787,-1,-1,-1,-1
1753679166787,-1,-1,-1,-1
1753679166787,-1,-1,-1,-1
1753679167788,-1,-1,-1,-1
1753679167788,-1,-1,-1,-1
1753679168789,-1,-1,-1,-1
1753679168789,-1,-1,-1,-1
1753679169790,-1,-1,-1,-1
1753679169790,-1,-1,-1,-1
1753679170791,-1,-1,-1,-1
1753679170791,-1,-1,-1,-1
1753679171792,-1,-1,-1,-1
1753679171792,-1,-1,-1,-1
1753679172792,-1,-1,-1,-1
1753679172793,-1,-1,-1,-1
1753679173793,-1,-1,-1,-1
1753679173794,-1,-1,-1,-1
1753679174794,-1,-1,-1,-1
1753679174794,-1,-1,-1,-1
1753679175795,-1,-1,-1,-1
1753679175795,-1,-1,-1,-1
1753679176796,-1,-1,-1,-1
1753679176796,-1,-1,-1,-1
1753679177797,-1,-1,-1,-1
1753679177800,-1,-1,-1,-1
1753679178798,-1,-1,-1,-1
1753679178802,-1,-1,-1,-1
1753679179799,-1,-1,-1,-1
1753679179804,-1,-1,-1,-1
1753679180804,-1,-1,-1,-1
1753679180805,-1,-1,-1,-1
1753679181805,-1,-1,-1,-1
1753679181809,-1,-1,-1,-1
1753679182813,-1,-1,-1,-1
1753679182828,-1,-1,-1,-1
1753679183814,-1,-1,-1,-1
1753679183819,-1,-1,-1,-1
1753679184818,-1,-1,-1,-1
1753679184822,-1,-1,-1,-1
1753679185819,-1,-1,-1,-1
1753679185824,-1,-1,-1,-1
1753679186822,-1,-1,-1,-1
1753679186827,-1,-1,-1,-1
1753679187824,-1,-1,-1,-1
1753679187827,-1,-1,-1,-1
1753679188826,-1,-1,-1,-1
1753679188829,-1,-1,-1,-1
1753679189827,-1,-1,-1,-1
1753679189831,-1,-1,-1,-1
1753679190831,-1,-1,-1,-1
1753679190832,-1,-1,-1,-1
1753679191833,-1,-1,-1,-1
1753679191848,-1,-1,-1,-1
1753679192835,-1,-1,-1,-1
1753679192850,-1,-1,-1,-1
1753679193837,-1,-1,-1,-1
1753679193851,-1,-1,-1,-1
1753679194838,-1,-1,-1,-1
1753679194854,-1,-1,-1,-1
1753679195839,-1,-1,-1,-1
1753679195855,-1,-1,-1,-1
1753679196840,-1,-1,-1,-1
1753679196856,-1,-1,-1,-1
1753679197842,-1,-1,-1,-1
1753679197857,-1,-1,-1,-1
1753679198843,-1,-1,-1,-1
1753679198859,-1,-1,-1,-1
1753679199845,-1,-1,-1,-1
1753679199860,-1,-1,-1,-1
1753679200846,-1,-1,-1,-1
1753679200862,-1,-1,-1,-1
1753679201847,-1,-1,-1,-1
1753679201863,-1,-1,-1,-1
1753679202849,-1,-1,-1,-1
1753679202866,-1,-1,-1,-1
1753679203849,-1,-1,-1,-1
1753679203867,-1,-1,-1,-1
1753679204850,-1,-1,-1,-1
1753679204869,-1,-1,-1,-1
1753679205851,-1,-1,-1,-1
1753679205870,-1,-1,-1,-1
1753679206852,-1,-1,-1,-1
1753679206871,-1,-1,-1,-1
1753679207853,-1,-1,-1,-1
1753679207872,-1,-1,-1,-1
1753679208854,-1,-1,-1,-1
1753679208874,-1,-1,-1,-1
1753679209855,-1,-1,-1,-1
1753679209875,-1,-1,-1,-1
1753679210856,-1,-1,-1,-1
1753679210877,-1,-1,-1,-1
1753679211857,-1,-1,-1,-1
1753679211879,-1,-1,-1,-1
1753679212859,-1,-1,-1,-1
1753679212880,-1,-1,-1,-1
1753679213859,-1,-1,-1,-1
1753679213881,-1,-1,-1,-1
1753679214861,-1,-1,-1,-1
1753679214882,-1,-1,-1,-1
1753679215862,-1,-1,-1,-1
1753679215884,-1,-1,-1,-1
1753679216863,-1,-1,-1,-1
1753679216884,-1,-1,-1,-1
1753679217864,-1,-1,-1,-1
1753679217886,-1,-1,-1,-1
Timestamp,RTT_ms,Bitrate_bps,PacketsSent,BytesSent
1753679318663,-1,-1,-1,-1
Timestamp,RTT_ms,Bitrate_bps,PacketsSent,BytesSent
1753679318663,-1,-1,-1,-1
1753679319664,-1,-1,-1,-1
1753679319664,-1,-1,-1,-1
1753679320665,-1,-1,-1,-1
1753679320665,-1,-1,-1,-1
1753679321665,-1,-1,-1,-1
1753679321665,-1,-1,-1,-1
1753679322666,-1,-1,-1,-1
1753679322666,-1,-1,-1,-1
1753679323666,-1,-1,-1,-1
1753679323666,-1,-1,-1,-1
1753679324667,-1,-1,-1,-1
1753679324667,-1,-1,-1,-1
1753679325668,-1,-1,-1,-1
1753679325668,-1,-1,-1,-1
1753679326668,-1,-1,-1,-1
1753679326668,-1,-1,-1,-1
1753679327669,-1,-1,-1,-1
1753679327669,-1,-1,-1,-1
1753679328670,-1,-1,-1,-1
1753679328670,-1,-1,-1,-1
1753679329671,-1,-1,-1,-1
1753679329671,-1,-1,-1,-1
1753679330672,-1,-1,-1,-1
1753679330673,-1,-1,-1,-1
1753679331673,-1,-1,-1,-1
1753679331673,-1,-1,-1,-1
1753679332674,-1,-1,-1,-1
1753679332674,-1,-1,-1,-1
1753679333675,-1,-1,-1,-1
1753679333675,-1,-1,-1,-1
1753679334676,-1,-1,-1,-1
1753679334676,-1,-1,-1,-1
1753679335681,-1,-1,-1,-1
1753679335682,-1,-1,-1,-1
1753679336682,-1,-1,-1,-1
1753679336683,-1,-1,-1,-1
1753679337684,-1,-1,-1,-1
1753679337684,-1,-1,-1,-1
1753679338685,-1,-1,-1,-1
1753679338685,-1,-1,-1,-1
1753679339687,-1,-1,-1,-1
1753679339689,-1,-1,-1,-1
1753679340688,-1,-1,-1,-1
1753679340690,-1,-1,-1,-1
1753679341691,-1,-1,-1,-1
1753679341694,-1,-1,-1,-1
1753679342693,-1,-1,-1,-1
1753679342696,-1,-1,-1,-1
1753679343694,-1,-1,-1,-1
1753679343696,-1,-1,-1,-1
1753679344695,-1,-1,-1,-1
1753679344697,-1,-1,-1,-1
1753679345696,-1,-1,-1,-1
1753679345699,-1,-1,-1,-1
1753679346701,-1,-1,-1,-1
1753679346702,-1,-1,-1,-1
1753679347702,-1,-1,-1,-1
1753679347703,-1,-1,-1,-1
1753679348703,-1,-1,-1,-1
1753679348706,-1,-1,-1,-1
1753679349704,-1,-1,-1,-1
1753679349707,-1,-1,-1,-1
1753679350706,-1,-1,-1,-1
1753679350708,-1,-1,-1,-1
1753679351709,-1,-1,-1,-1
1753679351710,-1,-1,-1,-1
1753679352710,-1,-1,-1,-1
1753679352711,-1,-1,-1,-1
1753679353711,-1,-1,-1,-1
1753679353712,-1,-1,-1,-1
1753679354713,-1,-1,-1,-1
1753679354714,-1,-1,-1,-1
1753679355714,-1,-1,-1,-1
1753679355715,-1,-1,-1,-1
1753679356715,-1,-1,-1,-1
1753679356717,-1,-1,-1,-1
1753679357716,-1,-1,-1,-1
1753679357719,-1,-1,-1,-1
1753679358718,-1,-1,-1,-1
1753679358721,-1,-1,-1,-1
1753679359721,-1,-1,-1,-1
1753679359722,-1,-1,-1,-1
1753679360723,-1,-1,-1,-1
1753679360726,-1,-1,-1,-1
1753679361725,-1,-1,-1,-1
1753679361727,-1,-1,-1,-1
1753679362725,-1,-1,-1,-1
1753679362727,-1,-1,-1,-1
1753679363727,-1,-1,-1,-1
1753679363729,-1,-1,-1,-1
1753679364730,-1,-1,-1,-1
1753679364732,-1,-1,-1,-1
1753679365731,-1,-1,-1,-1
1753679365733,-1,-1,-1,-1
1753679366732,-1,-1,-1,-1
1753679366734,-1,-1,-1,-1
1753679367733,-1,-1,-1,-1
1753679367735,-1,-1,-1,-1
1753679368735,-1,-1,-1,-1
1753679368736,-1,-1,-1,-1
1753679369736,-1,-1,-1,-1
1753679369738,-1,-1,-1,-1
1753679370737,-1,-1,-1,-1
1753679370739,-1,-1,-1,-1
1753679371738,-1,-1,-1,-1
1753679371740,-1,-1,-1,-1
1753679372739,-1,-1,-1,-1
1753679372741,-1,-1,-1,-1
1753679373740,-1,-1,-1,-1
1753679373741,-1,-1,-1,-1
1753679374741,-1,-1,-1,-1
1753679374742,-1,-1,-1,-1
1753679375742,-1,-1,-1,-1
1753679375743,-1,-1,-1,-1
1753679376742,-1,-1,-1,-1
1753679376744,-1,-1,-1,-1
1753679377744,-1,-1,-1,-1
1753679377746,-1,-1,-1,-1
Timestamp,RTT_ms,Bitrate_bps,PacketsSent,BytesSent
Timestamp,RTT_ms,Bitrate_bps,PacketsSent,BytesSent
23735871,-1,-1,-1,-1
23735871,-1,-1,-1,-1
23736872,-1,-1,-1,-1
23736872,-1,-1,-1,-1
23737873,-1,-1,-1,-1
23737873,-1,-1,-1,-1
23738873,-1,-1,-1,-1
23738874,-1,-1,-1,-1
23739874,-1,-1,-1,-1
23739874,-1,-1,-1,-1
23740875,-1,-1,-1,-1
23740875,-1,-1,-1,-1
23741876,-1,-1,-1,-1
23741876,-1,-1,-1,-1
23742876,-1,-1,-1,-1
23742876,-1,-1,-1,-1
23743877,-1,-1,-1,-1
23743877,-1,-1,-1,-1
23744878,-1,-1,-1,-1
23744878,-1,-1,-1,-1
23745879,-1,-1,-1,-1
23745879,-1,-1,-1,-1
23746880,-1,-1,-1,-1
23746880,-1,-1,-1,-1
23747880,-1,-1,-1,-1
23747881,-1,-1,-1,-1
23748882,-1,-1,-1,-1
23748882,-1,-1,-1,-1
23749882,-1,-1,-1,-1
23749883,-1,-1,-1,-1
23750884,-1,-1,-1,-1
23750883,-1,-1,-1,-1
23751884,-1,-1,-1,-1
23751885,-1,-1,-1,-1
23752885,-1,-1,-1,-1
23752885,-1,-1,-1,-1
23753886,-1,-1,-1,-1
23753887,-1,-1,-1,-1
23754887,-1,-1,-1,-1
23754888,-1,-1,-1,-1
23755888,-1,-1,-1,-1
23755889,-1,-1,-1,-1
23756889,-1,-1,-1,-1
23756889,-1,-1,-1,-1
23757890,-1,-1,-1,-1
23757890,-1,-1,-1,-1
23758891,-1,-1,-1,-1
23758891,-1,-1,-1,-1
23759893,-1,-1,-1,-1
23759894,-1,-1,-1,-1
23760895,-1,-1,-1,-1
23760896,-1,-1,-1,-1
23761896,-1,-1,-1,-1
23761897,-1,-1,-1,-1
23762898,-1,-1,-1,-1
23762899,-1,-1,-1,-1
23763900,-1,-1,-1,-1
23763900,-1,-1,-1,-1
23764900,-1,-1,-1,-1
23764902,-1,-1,-1,-1
23765904,-1,-1,-1,-1
23765905,-1,-1,-1,-1
23766906,-1,-1,-1,-1
23766909,-1,-1,-1,-1
23767907,-1,-1,-1,-1
23767911,-1,-1,-1,-1
23768909,-1,-1,-1,-1
23768913,-1,-1,-1,-1
23769910,-1,-1,-1,-1
23769914,-1,-1,-1,-1
23770914,-1,-1,-1,-1
23770919,-1,-1,-1,-1
23771918,-1,-1,-1,-1
23771926,-1,-1,-1,-1
23772918,-1,-1,-1,-1
23772927,-1,-1,-1,-1
23773919,-1,-1,-1,-1
23773929,-1,-1,-1,-1
23774921,-1,-1,-1,-1
23774930,-1,-1,-1,-1
23775922,-1,-1,-1,-1
23775931,-1,-1,-1,-1
23776924,-1,-1,-1,-1
23776932,-1,-1,-1,-1
23777925,-1,-1,-1,-1
23777934,-1,-1,-1,-1
23778926,-1,-1,-1,-1
23778943,-1,-1,-1,-1
23779927,-1,-1,-1,-1
23779944,-1,-1,-1,-1
23780928,-1,-1,-1,-1
23780945,-1,-1,-1,-1
23781929,-1,-1,-1,-1
23781946,-1,-1,-1,-1
23782930,-1,-1,-1,-1
23782948,-1,-1,-1,-1
23783932,-1,-1,-1,-1
23783949,-1,-1,-1,-1
23784933,-1,-1,-1,-1
23784950,-1,-1,-1,-1
23785935,-1,-1,-1,-1
23785951,-1,-1,-1,-1
23786936,-1,-1,-1,-1
23786953,-1,-1,-1,-1
23787936,-1,-1,-1,-1
23787953,-1,-1,-1,-1
23788937,-1,-1,-1,-1
23788955,-1,-1,-1,-1
23789938,-1,-1,-1,-1
23789956,-1,-1,-1,-1
23790939,-1,-1,-1,-1
23790958,-1,-1,-1,-1
23791940,-1,-1,-1,-1
23791958,-1,-1,-1,-1
23792941,-1,-1,-1,-1
23792962,-1,-1,-1,-1
23793942,-1,-1,-1,-1
23793964,-1,-1,-1,-1
23794943,-1,-1,-1,-1
23794964,-1,-1,-1,-1
Timestamp,RTT_ms,Bitrate_bps,PacketsSent,BytesSent
Timestamp,RTT_ms,Bitrate_bps,PacketsSent,BytesSent
23932575,0,300000,0,0
23932575,0,300000,0,0
23933575,1,1410666,57,37258
23933576,0,1411764,52,38044
23934576,1,1410666,132,103811
23934577,0,1411764,112,83665
23935577,1,1410666,215,174219
23935577,0,1411764,172,127465
23936578,0,1411764,232,171209
23936578,1,1410666,299,245202
23937579,0,1411764,293,224531
23937579,0,1410666,388,323310
23938580,0,1410666,470,393685
23938580,0,1411764,354,278489
23939580,0,3543428,457,373999
23939580,0,1410666,560,474277
23940581,0,1410666,648,552689
23940581,0,3543428,558,475170
23941581,0,3952533,757,643568
23941581,0,3543428,667,583926
23942582,0,3952533,871,751843
23942582,1,3543428,757,678387
23943583,0,3952533,992,873905
23943583,1,3543428,890,807893
23944584,0,3952533,1114,997522
23944584,0,3543428,1081,998631
23945585,0,3952533,1202,1080908
23945585,0,3543428,1236,1153277
23946586,0,3543428,1469,1394643
23946588,0,3952533,1321,1200129
23947587,0,3543428,1713,1647558
23947590,0,3952533,1435,1308776
23948588,0,3543428,1959,1905699
23948591,0,3952533,1634,1511375
23949589,0,3543428,2208,2162487
23949591,0,3952533,1844,1724912
23950590,0,3543428,2447,2408356
23950592,0,3952533,2032,1920743
23951591,0,3543428,2700,2666068
23951594,0,3952533,2245,2137837
23952592,1,3543428,2935,2904813
23952594,0,3952533,2486,2384477
23953593,1,3543428,3184,3160411
23953595,0,3952533,2711,2616264
23954594,1,3543428,3425,3412333
23954596,0,3952533,2941,2856922
23955595,1,3543428,3608,3598542
23955600,0,3952533,3050,2961485
23956596,1,3626438,3890,3893533
23956601,0,3952533,3199,3107141
23957597,2,3952710,4200,4219296
23957602,1,3952533,3364,3272615
23958600,2,4208733,4502,4537210
23958603,1,3952533,3526,3433616
23959601,2,4243019,4802,4851422
23959605,1,3952533,3686,3595602
23960604,2,4243019,5097,5163622
23960606,1,3952533,3850,3761758
23961607,1,3952533,4029,3945037
23961608,2,4252606,5393,5476134
23962608,1,4252606,5672,5767015
23962608,1,3952533,4223,4141728
23963609,1,4252606,5972,6079600
23963609,1,3952533,4418,4340794
23964610,1,3952533,4606,4534114
23964611,1,4270785,6267,6392734
23965611,0,3952533,4797,4725922
23965612,0,4270785,6556,6697077
23966613,0,3952533,4982,4914311
23966616,0,4270785,6853,7009286
23967614,0,3952533,5159,5095092
23967618,1,4270785,7153,7322952
23968616,0,3952533,5336,5273554
23968620,1,4270785,7462,7647254
23969618,0,3952533,5524,5464060
23969623,1,4270785,7763,7962663
23970625,0,3952533,5708,5648846
23970626,0,4270785,8052,8268817
23971625,0,3952533,5905,5852383
23971626,0,4270785,8360,8593910
23972627,0,4270785,8645,8893391
23972631,0,3952533,6118,6072306
23973628,0,4270785,8943,9207430
23973631,0,3952533,6318,6279681
23974629,0,4308808,9252,9530871
23974633,0,3952533,6510,6480065
23975633,1,4308808,9548,9843739
23975634,2,3952533,6726,6700490
23976635,2,3952533,6936,6917809
23976636,1,4308808,9848,10159726
23977636,0,3952533,7128,7110834
23977637,1,4308808,10144,10472139
23978637,0,3952533,7320,7306621
23978638,1,4308808,10314,10644074
23979638,0,3952533,7532,7523099
23979639,1,4308808,10554,10889809
23980640,0,4308808,10807,11154310
23980641,0,3952533,7757,7756640
23981643,0,4308808,11024,11379949
23981640,0,3952533,7994,8000469
23982641,0,3952533,8216,8232407
23982644,0,4308808,11276,11642288
23983642,0,3952533,8441,8464052
23983647,0,4308808,11503,11879094
23984653,0,4308808,11734,12120009
23984655,0,3952533,8654,8684673
23985654,1,4308808,11977,12371957
23985657,0,3952533,8880,8918698
23986658,1,4308808,12210,12612962
23986659,0,3952533,9122,9170868
23987659,1,4308808,12461,12871694
23987661,0,3952533,9375,9435174
23988661,1,4308808,12698,13117089
23988661,0,3952533,9635,9704693
23989662,1,4308808,12942,13369159
23989662,0,3952533,9907,9988114
23990663,0,3984485,10200,10290809
23990663,1,4308808,13188,13625330
23991664,1,4308808,13427,13875992
23991664,0,3984485,10448,10550317
Timestamp,RTT_ms,Bitrate_bps,PacketsSent,BytesSent
Timestamp,RTT_ms,Bitrate_bps,PacketsSent,BytesSent
30106017,1,300000,0,0
30106018,0,300000,0,0
30107018,0,1316631,57,35890
30107018,0,1444571,36,23353
30108019,0,1316631,129,100745
30108019,0,1444571,70,52469
30109020,0,1444571,100,76159
30109020,0,1316631,210,169774
30110020,0,1316631,294,240516
30110020,0,1444571,130,100605
30111021,1,1316631,383,317494
30111021,0,1444571,161,126326
30112021,1,1316631,462,386407
30112022,0,1444571,206,167745
30113022,0,1316631,547,462545
30113022,0,3401066,281,238505
30114023,0,1316631,637,541413
30114023,0,3401066,341,300689
30115024,0,3663428,747,635914
30115024,0,3401066,401,361046
30116025,0,3663428,862,744062
30116025,1,3401066,461,419262
30117025,0,3663428,982,865739
30117026,1,3401066,544,503511
30118026,0,3401066,659,620581
30118026,0,3663428,1104,988725
30119027,0,3663428,1192,1072267
30119027,0,3401066,772,737439
30120028,0,3663428,1311,1191488
30120028,0,3401066,894,865033
30121028,0,3663428,1425,1300128
30121029,0,3401066,986,960007
30122030,0,3663428,1624,1502734
30122030,0,3401066,1192,1182138
30123031,0,3663428,1826,1709505
30123032,0,3414325,1434,1441067
30124031,0,3663428,2015,1905635
30124033,0,3567837,1682,1706964
30125032,0,3663428,2234,2129192
30125033,0,3595976,1917,1961070
30126033,1,3663428,2468,2369069
30126035,0,3599560,2160,2221911
30127034,1,3663428,2693,2600260
30127036,0,3599560,2387,2466122
30128035,1,3663428,2921,2839207
30128037,0,3599560,2620,2717272
30129037,0,3599560,2734,2837203
30130038,0,3599560,2967,3087886
30131039,0,3599560,3282,3428966
30132040,0,2879648,3402,3556094
30133040,0,2303718,3462,3619061
30134041,0,1842974,3520,3679194
30135042,0,1474379,3555,3715944
30136043,0,240000,3600,3746234
30137044,0,192000,3626,3765665
30138044,0,153600,3642,3780503
30139045,0,122880,3658,3791971
30140046,0,98304,3668,3800852
30141047,0,96400,3673,3804992
30142047,0,96400,3680,3809327
30143048,0,96400,3685,3812862
30144049,0,96400,3691,3817005
30145050,0,96400,3697,3822578
30146051,-1,-1,3713,3832295
30147051,-1,-1,3728,3844131
30148052,-1,-1,3744,3856273
30149053,-1,-1,3759,3867516
30150053,-1,-1,3774,3875704
30151054,-1,-1,3789,3882167
30152055,-1,-1,3804,3886841
30153055,-1,-1,3819,3890867
30154056,-1,-1,3834,3895046
30155057,-1,-1,3844,3900227
30156057,-1,-1,3854,3903759
30157058,-1,-1,3869,3906892
30158059,-1,-1,3884,3910186
30159060,-1,-1,3899,3913753
30160060,-1,-1,3914,3917370
30161061,-1,-1,3929,3921313
30162062,-1,-1,3944,3925030
30163063,-1,-1,3959,3928968
30164064,-1,-1,3974,3932692
30165064,-1,-1,3989,3936684
Timestamp,RTT_ms,Bitrate_bps,PacketsSent,BytesSent
30340654,0,300000,0,0
Timestamp,RTT_ms,Bitrate_bps,PacketsSent,BytesSent
30340655,0,300000,0,0
30341655,0,1316631,58,35793
30341655,0,1415500,35,24035
30342655,0,1316631,134,102092
30342656,0,1415500,69,53073
30343656,0,1316631,213,170735
30343656,0,1415500,99,80285
30344657,0,1316631,296,241241
30344657,0,1415500,132,109366
30345657,0,1415500,162,138577
30345657,0,1316631,385,318559
30346658,0,1316631,465,387588
30346658,0,1415500,192,167168
30347659,0,1316631,552,463135
30347659,0,3627076,267,235787
30348659,0,1316631,642,544429
30348659,0,3627076,316,283685
30349660,0,3627076,361,330004
30349660,0,3864000,753,634687
30350661,1,3627076,407,377747
30350661,0,3864000,869,743052
30351661,0,3864000,989,866491
30351661,1,3627076,486,455447
30352662,0,3627076,578,547245
30352662,0,3864000,1113,990552
30353663,0,3627076,672,638257
30353663,0,3864000,1201,1073930
30354664,0,3864000,1320,1193151
30354664,0,3627076,767,733985
30355665,0,3864000,1434,1301791
30355665,0,3627076,855,822856
30356666,0,3864000,1633,1504389
30356667,0,3627076,1048,1028350
30357667,0,3864000,1835,1711153
30357668,0,3640990,1316,1315755
30358668,1,3864000,2024,1907276
30358669,0,3710877,1557,1573651
30359669,1,3864000,2243,2130825
30359670,0,3710877,1789,1824044
30360670,0,3864000,2477,2370702
30360670,0,3710877,2019,2071660
30361671,0,3864000,2702,2601893
30361671,0,3710877,2251,2321804
30362672,0,3864000,2930,2840840
30362672,1,3710877,2483,2569752
30363673,1,3710877,2600,2693101
30363673,0,3864000,3044,2950866
30364674,0,3864000,3192,3095586
30364674,1,3710877,2838,2947124
30365676,0,3864000,3362,3265588
30365676,0,3887947,3163,3299435
30366676,0,3864000,3519,3421129
30366677,0,4235063,3465,3625959
30367677,0,3864000,3678,3583729
30367679,0,4420465,3761,3945326
30368679,0,3864000,3842,3750107
30368680,0,4454784,4066,4276120
30369680,0,3864000,4020,3931630
30369681,0,4472227,4325,4554323
30370684,0,4472227,4592,4843809
30370686,1,3864000,4197,4110342
30371686,0,4472227,4880,5155609
30371694,1,3864000,4364,4281667
30372694,1,3864000,4515,4433810
30372702,0,4472227,5153,5452028
30373695,1,3864000,4688,4610975
30373707,0,4472227,5439,5761700
30374697,1,3864000,4832,4757225
30374710,0,4472227,5702,6045094
30375697,1,3864000,5009,4938214
30375718,0,4472227,6007,6375083
30376699,1,3864000,5178,5109656
30376720,0,4472227,6295,6684400
30377700,1,3864000,5365,5299550
30377722,1,4506520,6588,7000180
30378701,0,3864000,5549,5482963
30378723,1,4506520,6868,7303305
30379702,0,3864000,5748,5686523
30379725,1,4506520,7155,7613747
30380703,0,3864000,5964,5911707
30380728,0,4506520,7457,7939954
30381704,0,3864000,6167,6119466
30381729,0,4506520,7756,8262758
30382706,0,3864000,6372,6329583
30382730,0,4506520,8032,8561309
30383707,0,3864000,6590,6552271
30383732,0,4506520,8332,8885285
30384708,0,3864000,6796,6766251
30384735,0,4506520,8610,9185859
30385709,0,3864000,6986,6959039
30385736,1,4506520,8924,9524833
30386711,0,3864000,7172,7148085
30386738,1,4506520,9193,9814024
30387712,0,3864000,7387,7365344
30387738,0,4506520,9486,10131542
30388713,1,3864000,7620,7606912
30388739,0,4506520,9790,10459090
30389719,1,3864000,7876,7869272
30389740,0,4506520,10078,10769452
30390716,2,3864000,8116,8117638
30390741,1,4506520,10350,11061386
30391717,2,3864000,8357,8366608
30391743,1,4506520,10643,11376638
30392718,2,3864000,8597,8614076
30392745,1,4506520,10950,11708800
30393720,0,3864000,8830,8855293
30393745,0,4506520,11251,12034513
30394722,0,3864000,9091,9128599
30394746,0,4528380,11541,12347893
30395724,0,3864000,9348,9394076
30395747,0,4528380,11827,12656401
30396726,0,3864000,9609,9665355
30396748,0,4528380,12097,12948240
30397729,0,3864000,9888,9956549
30397750,0,4528380,12410,13285679
30398730,0,3969947,10165,10244056
30398751,0,4528380,12675,13573174
30399731,0,3969947,10429,10520231
30399753,0,4528380,12983,13907294
